Serviced?,STATION_NO,CONSECUTIVE_DEPLOY_NO,DEPLOYMENT_DATE,RECOVERY_DATE,Recovered?,IN_DATA_SET,Lat_deg,Lat_min,Lon_deg,Lon_min,BOTTOM_DEPTH,VR2_SERIAL_NO,AR_SERIAL_NO,AR_EXPECTED_BATTERY_LIFE,AR_VOLTAGE_AT_DEPLOY,AR_RELEASE_CODE,Temp Logger serial,STEVES_ARBITRARY_LOCATION_CODES,DEPLOYED_BY (Lead Technicians),Recovered By,COMMENTS_DEPLOYMENT,COMMENTS_RECOVERY,,,
1,Range Test - Dec 2012 - Diamondhead 3m,1,12/7/12 0:00,12/24/12 0:00,,1,21,14.317,-157,49.175,,110286,,,,,,7,,,,,,,
1,Range Test - Dec 2012 - Diamondhead 60m,1,12/7/12 0:00,12/24/12 0:00,,1,21,14.317,-157,49.175,,104542,,,,,,7,,,,,,,
1,PB - Dropoff in BRFA,lost,3/10/13 0:00,11/28/13 0:00,LOST,0,0,0,0,0,0,0,,,,,,101,,,"LOST: sent code 003-1 and received range 198m. Released four times, never floated. Must be tangled.",,,,
1,PB - First Finger,2,3/10/13 0:00,3/17/13 0:00,,1,21,0.183,-157,20.82,116,110308,272366-007,3/10/14 0:00,,007-4,,100,,,,,,,
1,PB - Pinnacle South,2,3/10/13 0:00,11/28/13 0:00,,1,20,57.308,-157,24.796,256,110314,272366-001,3/10/14 0:00,,001-1,,103,,,,,,,
1,PB - The Mound,2,3/10/13 0:00,3/17/13 0:00,VRL MISSING!,0,20,59.369,-157,21.306,279,110316,272366-002,3/10/14 0:00,15.9,002-1,,102,,,,,,,
1,PB - Base Third Finger,lost,3/17/13 0:00,11/28/13 0:00,LOST,0,20,54.511,-157,34.746,220,110286,272366-004,3/17/14 0:00,,004-1,655566,104,kevin weng,,"3 green floats, flag, 3 blocks",,,,
1,PB - First Finger,3,3/17/13 0:00,11/28/13 0:00,,1,21,0.165,-157,20.804,116,110308,272366-007,3/10/14 0:00,,007-4,655546,100,kevin weng,,Popped to look at the orange bullet floats we used last time. They were ok but don't know if they'll last at depth for a year. Added 1 green float.,,,,
1,PB - South Tip,2,3/17/13 0:00,11/28/13 0:00,,1,20,51.506,-157,44.104,285,110298,272366-005,3/17/14 0:00,,005-1,,105,,,"4 green floats, flag, 3 blocks",,,,
1,PB - The Mound,3,3/17/13 0:00,11/28/13 0:00,VRL MISSING!,0,20,59.369,-157,21.306,279,110316,272366-002,3/10/14 0:00,,002-1,655542,102,kevin weng,,"3 green floats, flag, 3 blocks. HP laptop having VUE problems, couldn't download so hit ""start recording"". Battery was replaced last week so should be ok",,,,
1,Oahu - Makapuu in BRFA,2,3/23/13 0:00,10/8/13 0:00,,1,21,18.48,-157,34.332,,110310,256240-008,,,008-3,,5,,,"New location - where I tagged with Leonard Yamada. 4 green floats, flag, 3 blocks+anchor",,,,
1,Oahu - Makapuu South,2,3/23/13 0:00,8/26/13 0:00,,1,21,15.733,-157,35.659,100,110243,006-1,3/23/14 0:00,,006-1,655547,6,,,New location - our favorite fishing spot S of BRFA,,,,
1,Oahu - Makapuu North,2,3/31/13 0:00,10/8/13 0:00,,1,21,25.532,-157,41.688,115,110317,258477-004,3/31/14 0:00,,008-1,655554,4,kw,,"New location -- shallower on the S side of the canyon, at Paka depths.",,,,
1,With BotCam Crew,,5/22/13 0:00,5/24/13 0:00,,1,0,0,0,0,0,102203,,,,,,21,,,,,,,
1,With BotCam Crew,,5/22/13 0:00,5/24/13 0:00,,1,0,0,0,0,0,110245,,,,,,21,,,,,,,
1,With BotCam Crew,,5/22/13 0:00,5/24/13 0:00,,1,0,0,0,0,0,110312,,,,,,21,,,,,,,
1,With BotCam Crew,,5/22/13 0:00,5/24/13 0:00,,1,0,0,0,0,0,110318,,,,,,21,,,,,,,
1,Oahu - Makapuu South,3,8/26/13 0:00,10/8/13 0:00,,1,21,15.359,-157,34.126,377,110243,258477-001,#VALUE!,,008-1,,6,,,On slope of SE side of Makapuu shelf,,,,
1,Oahu - Haleiwa,2,10/8/13 0:00,1/18/15 3:30,,1,21,38.625,-158,10.879,330,110315,,4/8/15 0:00,,286-4,,1,Scherrer,,"3 Green Floats, Flag Block",,,,
1,Oahu - Kahuku,2,10/8/13 0:00,1/19/15 9:35,LOST,0,21,47.667,-157,58.143,325,104546,,4/8/15 0:00,,004-3,,2,Scherrer,,"LOST - 3 Green Floats, Flag, Block",,,,
1,Oahu - Makapuu South,4,10/8/13 8:30,12/8/14 0:00,,1,21,15.747,-157,35.659,100,102199,(Get Info From Purple Binder/Deployment Log,4/8/15 0:00,,286-3,,6,Scherrer,,"3 Green Floats, Flag, Block",,,,
1,Oahu - Makapuu in BRFA,3,10/8/13 9:26,12/8/14 0:00,,1,21,18.48,-157,34.332,,110243,,4/8/15 0:00,,006-1,,5,Swenarton,,"3 Green Floats, Flag, Block (Deployed by Swenarton/DelRaye, I was busy being sick)",,,,
1,Oahu - Makapuu North,3,10/8/13 11:15,12/8/14 0:00,,1,21,25.532,-157,41.688,115,110310,,4/8/15 0:00,,286-1,,4,Scherrer,,"3 Green Floats, Flag, Block",21,25.53,-157,-41.68
1,Oahu - Marine Corps Base,3,10/8/13 12:43,1/19/15 0:00,,1,21,29.927,-157,44.795,313,110317,,4/8/15 0:00,,008-1,,3,Scherrer,,"3 Green Floats, Flag, Block",,,,
1,Oahu - Barber's Flats,3,11/7/13 0:00,1/18/15 8:30,,1,21,14.242,-158,1.608,343,103910,256240-009,11/7/14 0:00,16,008-4,,9,kw,,VR2 battery came up dead. Some data on recorder,,,,
1,Oahu - Kaena,,11/7/13 0:00,1/18/15 2:30,,1,21,32.867,-158,16.366,320,102201,286655-008,11/7/14 0:00,15.7,28602,,13,,,Ranged F/ NW of point,,,,
1,Oahu - Ko olina,3,11/7/13 0:00,1/18/15 9:45,,1,21,15.888,-158,6.585,330,102203,258477-001,11/7/14 0:00,15.6,008-2,,10,kw,,20 m line,,,,
1,Oahu - Power Plant,,11/7/13 0:00,1/18/15 11:45,,1,21,20.978,-158,8.963,322,103909,285719-004,11/7/14 0:00,16,007-2,655558,11,ts,,VR2 battery came up dead. Some data on recorder,,,,
1,Oahu - Waianae,3,11/7/13 0:00,1/18/15 13:15,,1,21,25.101,-158,12.526,316,103912,,11/7/14 0:00,,007-3,,12,kw,,"30 m line, VR2 battery came up dead. Some data on recorder",,,,
1,Oahu - Diamond Head,1,11/28/13 0:00,1/19/15 16:30,,1,21,14.042,-157,48.808,348,102202,256240-003,11/17/14 0:00,,003-3,,7,Scherrer,,went to pull old diamonhead receiver. it wasn't there. removal not logged.,,,,
1,PB - First Finger,4,11/28/13 0:00,10/5/14 16:30,,1,21,0.165,-157,20.804,,110314,,11/17/14 0:00,,001-1,,100,Scherrer,,,,,,
1,PB - Pinnacle South,3,11/28/13 0:00,10/5/14 11:30,,1,20,57.308,-157,24.765,261,110298,,11/17/14 0:00,,005-1,,103,Scherrer,,,,,,
1,PB - South Tip,3,11/28/13 0:00,10/25/14 0:00,,0,20,57.509,-157,44.101,285,110318,256240006,11/17/14 0:00,,006-3,,105,Scherrer,,LOST. Deck Box could not find LRT unit.,,,,
1,PB - The Mound,4,11/28/13 0:00,10/5/14 16:15,,1,20,59.369,-157,21.306,279,110308,272366004,11/17/14 0:00,,007-4,,102,Scherrer,,,,,,
1,Range Test - June 2014 - Diamond Head 15m,1,6/6/14 0:00,6/25/14 0:00,,0,21,15.29819,-157,50.93843,,123733,,,,400-5,,7,Scherrer,,Battery was bad. No data recovered,,,,
1,Range Test - June 2014 - Diamond Head 1m,1,6/6/14 0:00,6/25/14 0:00,,1,21,15.29819,-157,50.93843,,123732,,,,400-5,,7,Scherrer,,,,,,
1,Range Test - June 2014 - Diamond Head 30m,1,6/6/14 0:00,6/25/14 0:00,,1,21,15.29819,-157,50.93843,,123736,,,,400-5,,7,Scherrer,,,,,,
1,Range Test - Nov 2014 - Sand Island 15m,1,11/21/14 10:15,12/2/14 7:22,,0,21,17.1835,-157,53.4269,25,104543,,,,,,,Scherrer,,,,,,
1,Range Test - Nov 2014 - Sand Island 15m,1,11/21/14 10:15,12/2/14 7:22,,0,21,17.1835,-157,53.4269,25,123733,,,,,,,Scherrer,,,,,,
1,Range Test - Nov 2014 - Sand Island 15m,1,11/21/14 10:15,12/2/14 7:22,,0,21,17.1835,-157,53.4269,25,123734,,,,,,,Scherrer,,,,,,
1,Range Test - Nov 2014 - Sand Island 1m,1,11/21/14 10:15,12/2/14 7:22,,0,21,17.1835,-157,53.4269,25,103911,,,,,,,Scherrer,,,,,,
1,Range Test - Nov 2014 - Sand Island 1m,1,11/21/14 10:15,12/2/14 7:22,,0,21,17.1835,-157,53.4269,25,110298,,,,,,,Scherrer,,,,,,
1,Range Test - Nov 2014 - Sand Island 1m,1,11/21/14 10:15,12/2/14 7:22,,0,21,17.1835,-157,53.4269,25,110308,,,,,,,Scherrer,,,,,,
1,Range Test - Nov 2014 - Sand Island 7.5m,1,11/21/14 10:15,12/2/14 7:22,,0,21,17.1835,-157,53.4269,25,102200,,,,,,,Scherrer,,,,,,
1,Range Test - Nov 2014 - Sand Island 7.5m,1,11/21/14 10:15,12/2/14 7:22,,0,21,17.1835,-157,53.4269,25,123732,,,,,,,Scherrer,,,,,,
1,Range Test - Nov 2014 - Sand Island 7.5m,1,11/21/14 10:15,12/2/14 7:22,,0,21,17.1835,-157,53.4269,25,123736,,,,,,,Scherrer,,,,,,
1,Oahu - Makapuu BRFA 1,,12/8/14 0:00,1/9/16 13:30,,0,21,27.002,-157,41.236,,123736,256240-004,,,004-3,,,Scherrer,,BRFA E Northern Fence,Recovery Time approximate. Could not range initially. Finally raned 800 ft north of spot. Current may have moved unit during drop. ,,,
1,Oahu - Makapuu BRFA 10,,12/8/14 0:00,1/8/16 15:06,LOST,0,21,19.758,-157,38.358,31 Fathoms,123732,291344-009,,,002-1,,,Scherrer,,,January 2016 - Release Success but never floated. Wonky nonsense Range Responses.March 2016- Fail. Could not range unit. Possible it released in january and was not recovered,,,
1,Oahu - Makapuu BRFA 11,,12/8/14 0:00,1/8/16 14:50,,0,21,18.708,-157,37.668,25 Fathoms,123737,291344-003,,,040-2,,,Scherrer,,,Covered in Green Algae,,,
1,Oahu - Makapuu BRFA 12,,12/8/14 0:00,1/8/16 14:29,,0,21,19.008,-157,36.618,38 Fathoms,123740,291341-010,,,040-8,,,Scherrer,,,Release failed initially (14:22) Release Successful from out away from slope in deeper water,,,
1,Oahu - Makapuu BRFA 13,,12/8/14 0:00,1/8/16 13:53,LOST,0,21,17.958,-157,36.198,39 Fathoms,123738,,,,005-3,,,Scherrer,,,"Responded but did not float up. Responed 84m @ 21 17.926, -157 36.198",,,
1,Oahu - Makapuu BRFA 14,,12/8/14 0:00,1/8/16 13:27,,0,21,17.958,-157,35.118,46 Fathoms,123735,256240-001,,,001-3,,,Scherrer,,,"Outer LRT Housing SN : 256240-001, Inner LRT SN: 258477-006",,,
1,Oahu - Makapuu BRFA 15 (Makapuu In BRFA),,12/8/14 0:00,1/8/16 13:18,,0,21,18.48,-157,34.126,59.8 Fathoms,110308,291344-009,,,020-1,,,Scherrer,,"Same Position as prevoius ""Makapuu_IN_BRFA"" deployments",,,,
1,Oahu - Makapuu BRFA 16,,12/8/14 0:00,1/8/16 12:50,LOST,0,21,18.048,-157,32.839,,123734,291344-001,,,020-3,,,Scherrer,,,Lost - No Response from Acoustic Release,,,
1,Oahu - Makapuu BRFA 17,,12/8/14 0:00,5/30/15 14:00,LOST,0,21,15.384,-157,41.728,,103911,,,,009-4,,,Scherrer,,BRFA E Southern Fence. Can not be communicated via deck box. Unknown if equipment missing or release has failed.,,,,
1,Oahu - Makapuu BRFA 18,,12/8/14 0:00,5/30/15 13:45,,0,21,15.119,-157,41.531,,123741,272366-001,,,005-2,,,Scherrer,,BRFA E Southern Fence,,,,
1,Oahu - Makapuu BRFA 19,,12/8/14 0:00,5/30/15 13:30,,0,21,14.838,-157,41.324,,110314,272366-007,,,007-4,,,Scherrer,,BRFA E Southern Fence,,,,
1,Oahu - Makapuu BRFA 2,,12/8/14 0:00,1/9/16 13:02,LOST,0,21,26.839,-157,41.646,165 Fathoms,102200,291344-010,,,040-7,,,Scherrer,,BRFA E Northern Fence,"No Response f. top. Ranged from side. Resp on 040-1,  Tried again. Nonsense responese on 040-1, sent release, never floated up. ",,,
1,Oahu - Makapuu BRFA 20,,12/8/14 0:00,3/6/16 18:15,,0,21,14.557,-157,41.116,,110310,272366-005,,,005-1,,,Scherrer,,BRFA E Southern Fence. Ranging indicates depth of 470m. Will No Release. ,Recovered March 2016,,,
1,Oahu - Makapuu BRFA 3,,12/8/14 0:00,1/9/16 10:00,,0,21,26.676,-157,42.056,,110298,291341-009,,,040-4,,,Scherrer,,BRFA E Northern Fence,OK. Heavy Greasing,,,
1,Oahu - Makapuu BRFA 4,,12/8/14 0:00,1/9/16 9:27,,0,21,26.515,-157,42.462,45 Fathoms,110311,291344-004,,,040-3,,,Scherrer,,BRFA E Northern Fence,Heavy Greasing,,,
1,Oahu - Makapuu BRFA 5,,12/8/14 0:00,1/9/16 9:12,,0,21,26.35,-157,42.875,22 Fath,123733,291344-003,,,020-2,,,Scherrer,,BRFA E Northern Fence,"All ok. Fouled, not too much though",,,
1,Oahu - Makapuu BRFA 6,,12/8/14 0:00,1/9/16 7:09,,0,21,22.668,-157,38.928,154 Fathoms,104543,291344-007,,,040-5,,,Scherrer,,,,,,
1,Oahu - Makapuu BRFA 7,,12/8/14 0:00,1/8/16 4:00,LOST,0,21,20.958,-157,39.168,,110319,,,,004-1,,,Scherrer,,,Release Success but never floated. Wonky nonsense Range Responses,,,
1,Oahu - Makapuu BRFA 8,,12/8/14 0:00,1/8/16 16:35,LOST,0,21,20.838,-157,37.368,225 Fathoms,110305,291344-002,,,040-9,,,Scherrer,,,"Not responding on Code 040-9. Wonky nonsense responses using code 004-1. Checked March 2016, no response",,,
1,Oahu - Makapuu BRFA 9,,12/8/14 0:00,1/8/16 17:03,,0,21,20.478,-157,35.478,,108467,291344-005,,,040-6,,,Scherrer,,,"Got a few ranges 370 m. mostly fails. Went NE, NW, S of spot. 17:24 Released. Voltage on battery reads 13.3v. ""Spotty Recovery""",,,
1,Oahu - Waianae,,1/18/15 1:15,5/12/15 0:00,,0,21,25.101,-158,12.526,,110312,28655-009,,,286-3,,,Scherrer,,,,,,
1,Oahu - Kaena,,1/18/15 2:30,5/23/15 17:20,,0,21,32.867,-158,16.366,,123742,291344-008,,,040-1,,,Scherrer,,,,,,
1,Oahu - Haleiwa,,1/18/15 3:30,5/24/15 0:00,,0,21,38.625,-158,10.879,,123739,286655-007,,,286-1,,,Scherrer,,,,,,
1,Oahu - Barber's Flats,3,1/18/15 8:30,5/23/15 11:30,,0,21,14.242,-158,1.608,,110243,272366-006,,,024-4,,,Scherrer,,,,,,
1,Oahu - Ko olina,,1/18/15 9:45,5/23/15 12:35,,0,21,15.888,-158,6.585,,102199,256240-009,,,009-3,,,Scherrer,,,,,,
1,Oahu - Power Plant,,1/18/15 11:45,5/23/15 14:35,,0,21,20.978,-158,8.963,,110245,256240-005,,,005-3,,,Scherrer,,,,,,
1,Oahu - Diamond Head,,1/19/15 0:00,5/24/15 0:00,,0,21,14.042,-157,48.808,,110315,256240-007,,,007-3,,,Scherrer,,,,,,
1,Oahu - Marine Corps Base,4,1/19/15 0:00,5/24/15 0:00,,0,21,29.927,-157,44.795,,102203,285719-004,,,007-2,,,Scherrer,,,,,,
1,Oahu - Kahuku,,1/19/15 9:40,5/24/15 0:00,,0,21,47.621,-157,58.134,,123731,272366-008,,,008-4,,,Scherrer,,"Black line, 3 green floats. ",,,,
1,Range Test - Mar 2015 - Diamond Head 50m,,3/17/15 17:30,3/25/15 12:36,,0,21,15.034,-157,49.557,50,110317,,,,003-3,,,Scherrer,,"Receiver at 2m off bottom. Tag 18275 attached at 5m off bottom. Found Floating by DAR off Airport and recovered on 3/26/2015. Because there was a tag on the line, recovery date is the last date that tag was detected on a nearby receiver.",,,,
1,Range Test - Mar 2015 - Diamond Head 212m,,3/17/15 17:40,5/24/15 0:00,,0,21,14.658,-157,49.358,212,102202,,,,286-4,,,Scherrer,,Receiver at 2m off bottom. Tag 18274 attached at 5m off bottom,,,,
1,Range Test - June 2015 - 500m from Tags,,5/24/15 0:00,5/30/15 9:51,,0,21,14.835,-157,50.338,300,102199,,,,,,,Scherrer,,Receiver at 2m off bottom,,,,
1,Range Test - June 2015 - 50m from Tags,,5/24/15 0:00,5/30/15 9:51,,0,21,14.72,-157,50.102,300,123739,,,,,,,Scherrer,,Receiver at 2m off bottom,,,,
1,Range Test - June 2015 - Tags,,5/24/15 0:00,5/30/15 9:51,,0,21,14.707,-157,50.066,300,NA,,,,,,,Scherrer,,"3 Sentinel tags at 2m off bottom. One green float, one large orange float.",,,,
1,Oahu - Makapuu BRFA 22,,5/25/15 0:00,1/8/16 12:18,,0,21,16.404,-157,32.3574,,102202,256240-003,,,003-3,,,Scherrer,,Receiver at 12 fathoms. floats at 15 fath. Batteries not swapped from last deployment in Jan 2015.,,,,
1,Oahu - Makapuu BRFA 23,,5/25/15 0:00,1/8/16 12:10,,0,21,16.40418,-157,32.82890229,208 Fathoms,110317,286655-010,,,286-4,,,Scherrer,,Receiver at 12 fathoms. floats at 15 fath. Batteries not swapped from last deployment in Jan 2015.,"Surfaced at 21 16.338, -157 32.904",,,
1,Oahu - Makapuu BRFA 24,,5/25/15 0:00,1/8/16 11:44,,0,21,16.4043,-157,33.29875894,161 Fathoms,110245,256240-005,,,005-3,,,Scherrer,,Receiver at 12 fathoms. floats at 15 fath. Batteries not swapped from last deployment in Jan 2015.,,,,
1,Oahu - Makapuu BRFA 25,,5/25/15 0:00,1/8/16 11:30,LOST,0,21,16.40442,-157,33.77042417,,110312,286655-009,,,286-3,,,Scherrer,,Receiver at 12 fathoms. floats at 15 fath. Batteries not swapped from last deployment in Jan 2015.,Ranges but does not come up. Time of recovery attempt approximate,,,
1,Oahu - Makapuu BRFA 26,,5/25/15 0:00,1/8/16 11:26,,0,21,16.40454,-157,34.24275597,,110243,258477-004,,,008-1,,,Scherrer,,Receiver at 12 fathoms. floats at 15 fath. Batteries not swapped from last deployment in Jan 2015.,,,,
1,Oahu - Makapuu BRFA 27,,5/26/15 0:00,6/20/15 2:26,,0,21,16.40454,-157,34.71414384,,102203,258477-001,,,008-2,,,Scherrer,,Receiver at 12 fathoms. floats at 15 fath. Batteries not swapped from last deployment in Jan 2015.,"Recovered By Fisherman off Maui, Recovery date is last detection from a paka tagged in makapuu.",,,
1,Oahu - Makapuu BRFA 28,,5/26/15 0:00,1/8/16 10:50,,0,21,16.4046,-157,35.188,48.4 Fathoms,123731,272366-008,,,008-4,,,Scherrer,,Receiver at 12 fathoms. floats at 15 fath. Batteries not swapped from last deployment in Jan 2015.,,,,
1,Oahu - Makapuu BRFA 29,,5/30/15 0:00,3/7/16 10:30,LOST,0,21,16.4046,-157,35.661,,123742,291344-008,,,040-1,,,Scherrer,,Receiver at 12 fathoms. floats at 15 fath. Batteries not swapped from last deployment in Jan 2015.,Ranges but does not come up,,,
1,Oahu - Makapuu BRFA 30,,5/30/15 0:00,1/8/16 9:25,,0,21,16.4046,-157,36.134,,110315,256240-007,,,007-3,,,Scherrer,,Receiver at 12 fathoms. floats at 15 fath. Batteries not swapped from last deployment in Jan 2015.,,,,
1,Oahu - Makapuu BRFA 31,,5/30/15 0:00,1/8/16 9:00,,0,21,16.4046,-157,36.608,,102199,256240-009,,,009-3,,,Scherrer,,Receiver at 12 fathoms. floats at 15 fath. Batteries not swapped from last deployment in Jan 2015.,,,,
1,Oahu - Makapuu BRFA 32,,5/30/15 0:00,1/8/16 8:28,,0,21,16.4046,-157,37.081,41.8 Fathoms,123739,286655-007,,,286-1,,,Scherrer,,Receiver at 12 fathoms. floats at 15 fath. Batteries not swapped from last deployment in Jan 2015.,,,,
1,Oahu - Makapuu BRFA 33,,5/30/15 0:00,1/8/16 8:00,,0,21,16.4045,-157,37.554,,110314,272366-007,,,007-4,,,Scherrer,,Receiver at 12 fathoms. floats at 15 fath. Batteries not swapped from last deployment in Dec 2014.,,,,
1,Oahu - Makapuu BRFA 34,,5/30/15 0:00,1/8/16 7:15,,0,21,16.4044,-157,38.027,38.2 Fathoms,123741,272366-001,,,005-2,,,Scherrer,,Receiver at 12 fathoms. floats at 15 fath. Batteries not swapped from last deployment in Dec 2014.,"Barnacles, heavy fouling",,,
1,Oahu - Makapuu BRFA 36,,9/17/15 0:00,1/9/16 8:27,LOST,0,21,24.078,-157,40.458,90 Fathoms,127740,301629-009,,,026-1,,,Scherrer,,,"Release Ran, never floated up. Gave nonsense ranges. Lost. Responded with nonsense on 027-1 As well",,,
1,Oahu - Makapuu BRFA 37,,9/17/15 0:00,1/9/16 7:53,,0,21,23.298,-157,38.778,163 Fathoms,127741,301629-008,,,026-2,,,Scherrer,,,Had to go from side to hear it. All ok. Came up clean,,,
1,Oahu - Makapuu BRFA 38,,9/17/15 0:00,2/26/16 0:30,,0,21,22.998,-157,40.068,98 Fathoms,127742,303054-001,,,026-3,,,Scherrer,,,"10 Jan 2016: Responded, Release ran but did not float 26 Feb 2016: Recovered by fishermen off Koko Head. Retrieved at Hawaii Kai Harbor same day.",,,
